DATE,HOUR-MST,Avg Global PSP (therm-zen cor) [W/m^2],Avg Global Photometric LI-210 [klux],Avg Global 90-South PSP [W/m^2],Avg Deck Dry Bulb Temp [deg C],,DATE AND TIME,Avg Deck Dry Bulb Temp [deg F],Avg Global Photometric LI-210 [fc],Ave Global Irradiance (W/ft2),Ave Global 90 South Irradiance (W/ft2)
1/1/2011,1,6.4653,0,-0.5478,-13.2307,,1/1/2011 1:00,8.18474,0,0.600646606,-0.050892335
1/1/2011,2,7.047,0,-0.3776,-12.9523,,1/1/2011 2:00,8.68586,0,0.654688356,-0.035080222
1/1/2011,3,7.1437,0,-0.4596,-12.2292,,1/1/2011 3:00,9.98744,0,0.663672089,-0.042698279
1/1/2011,4,7.0436,0,-0.5842,-11.8457,,1/1/2011 4:00,10.67774,0,0.654372486,-0.054274008
1/1/2011,5,6.8356,0,-0.8721,-11.4127,,1/1/2011 5:00,11.45714,0,0.635048635,-0.08102082
1/1/2011,6,6.8626,0,-0.8528,-11.0883,,1/1/2011 6:00,12.04106,0,0.637557019,-0.079227789
1/1/2011,7,6.2507,0,-0.8124,-10.8942,,1/1/2011 7:00,12.39044,0,0.580709594,-0.075474503
1/1/2011,8,42.8545,3.2397,136.2762,-10.7363,,1/1/2011 8:00,12.67466,300.9754738,3.981317181,12.66048551
1/1/2011,9,87.6385,9.5491,134.6766,-9.592,,1/1/2011 9:00,14.7344,887.133036,8.14189095,12.51187767
1/1/2011,10,74.9057,9.1773,56.4618,-9.454,,1/1/2011 10:00,14.9828,852.5919732,6.958973978,5.24547794
1/1/2011,11,115.8546,14.5146,83.2822,-8.9603,,1/1/2011 11:00,15.87146,1348.439242,10.76325495,7.737177045
1/1/2011,12,235.9735,28.695,198.1207,-7.5763,,1/1/2011 12:00,18.36266,2665.830546,21.92267672,18.40603313
1/1/2011,13,434.1822,51.0432,558.1885,-6.306,,1/1/2011 13:00,20.6492,4742.028986,40.33688533,51.85745873
1/1/2011,14,206.5382,23.991,158.4115,-6.589,,1/1/2011 14:00,20.1398,2228.818283,19.18804523,14.71692416
1/1/2011,15,151.5942,17.0341,186.8262,-7.084,,1/1/2011 15:00,19.2488,1582.506503,14.08357566,17.35673873
1/1/2011,16,75.88,8.2576,147.526,-7.8907,,1/1/2011 16:00,17.79674,767.1497585,7.049489497,13.70562714
1/1/2011,17,37.2268,3.4448,118.195,-7.9777,,1/1/2011 17:00,17.64014,320.0297287,3.458486236,10.98068544
1/1/2011,18,6.1399,0,-2.0601,-8.4752,,1/1/2011 18:00,16.74464,0,0.570415927,-0.191389738
1/1/2011,19,5.4045,0,-2.3445,-8.5062,,1/1/2011 19:00,16.68884,0,0.502094966,-0.217811388
1/1/2011,20,6.5062,0,-1.6574,-8.2388,,1/1/2011 20:00,17.17016,0,0.604446344,-0.153977648
1/1/2011,21,5.4715,0,-2.8418,-8.4398,,1/1/2011 21:00,16.80836,0,0.508319475,-0.264012115
1/1/2011,22,4.2765,0,-3.6409,-8.7228,,1/1/2011 22:00,16.29896,0,0.397300235,-0.338251006
1/1/2011,23,6.1493,0,-1.22,-8.087,,1/1/2011 23:00,17.4434,0,0.571289217,-0.113341818
1/2/2011,0,7.5939,0,-0.5333,-5.9289,,1/2/2011 0:00,21.32798,0,0.705497078,-0.049545239
